,,# Tareas,,,SVM
3271.196,4311.008,636,16,-1039.812,32
3384.56,4307.725,637,16,-923.165,27
3476.707,4400.7,638,16,-923.993,27
3327.242,4211.21,639,16,-883.968,27
3362.872,4501.413,640,16,-1138.541,34
3409.22,4575.548,641,16,-1166.328,34
3340.254,4199.272,642,16,-859.018,26
3433.525,4682.223,643,16,-1248.698,36
3384.422,4237.45,644,16,-853.028,25
3448.44,4328.927,645,16,-880.487,26
3388.898,4337.375,646,16,-948.477,28
3435.334,4458.67,647,16,-1023.336,30
3405.025,4266.081,648,16,-861.056,25
3417.92,4307.61,649,16,-889.69,26
3431.343,4548.024,650,16,-1116.681,33
3493.874,4525.607,651,16,-1031.733,30
3466.074,4727.933,652,16,-1261.859,36
3418.208,4717.571,653,16,-1299.363,38
3431.996,4425.041,654,16,-993.045,29
3487.239,4543.87,655,16,-1056.631,30
3381.661,4298.718,656,16,-917.057,27
3401.864,4507.41,657,16,-1105.546,32
3515.737,4402.44,658,16,-886.703,25
3458.905,4685.205,659,16,-1226.3,35
3478.837,4587.023,660,16,-1108.186,32
3451.22,5083.496,661,16,-1632.276,47
3523.285,4576.733,662,16,-1053.448,30
3518.332,4525.245,663,16,-1006.913,29
3450.882,4429.413,664,16,-978.531,28
3531.338,4522.444,665,16,-991.106,28
3493.042,4674.821,666,16,-1181.779,34
3534.854,4469.998,667,16,-935.144,26
3493.865,4627.21,668,16,-1133.345,32
3446.337,4411.534,669,16,-965.197,28
3521.05,4429.986,670,16,-908.936,26
3575.41,4682.296,671,16,-1106.886,31
3483.824,4522.804,672,16,-1038.98,30
3554.061,4611.754,673,16,-1057.693,30
3540.946,4657.224,674,16,-1116.278,32
3530.356,4583.095,675,16,-1052.739,30
3581.298,4630.793,676,16,-1049.495,29
3510.129,4628.46,677,16,-1118.331,32
3560.669,4727.537,678,16,-1166.868,33
3551.843,4540.594,679,16,-988.751,28
3536.436,4774.033,680,16,-1237.597,35
3573.929,4534.963,681,16,-961.034,27
3595.271,4664.978,682,16,-1069.707,30
3573.822,4783.688,683,16,-1209.866,34
3595.021,4510.588,684,16,-915.567,25
3553.241,4490.002,685,16,-936.761,26
3530.307,4537.773,686,16,-1007.466,29
3659.051,4656.569,687,16,-997.518,27
