Esperado,Obtenido,# Tareas,,,ANN
2601.561,3719.235,477,16,-1117.674,43
2605.151,3731.616,478,16,-1126.465,43
2524.072,3779.243,479,16,-1255.171,50
2575.254,3843.569,480,16,-1268.315,49
2613.039,4108.587,481,16,-1495.548,57
2628.281,3831.805,482,16,-1203.524,46
2670.568,3703.722,483,16,-1033.154,39
2615.049,3417.548,484,16,-802.499,31
2606.074,3634.414,485,16,-1028.34,39
2637.795,3537.755,486,16,-899.96,34
2663.936,3869.806,487,16,-1205.87,45
2662.915,4087.597,488,16,-1424.682,54
2584.535,3645.559,489,16,-1061.024,41
2598.154,3808.97,490,16,-1210.816,47
2622.331,3798.07,491,16,-1175.739,45
2608.62,3514.755,492,16,-906.135,35
2630.268,3844.073,493,16,-1213.805,46
2617.975,3717.785,494,16,-1099.81,42
2586.076,3736.14,495,16,-1150.064,44
2669.521,4039.636,496,16,-1370.115,51
2698.873,3897.676,497,16,-1198.803,44
2760.971,4151.198,498,16,-1390.227,50
2679.856,3960.379,499,16,-1280.523,48
2717.893,3985.946,500,16,-1268.053,47
2721.522,3860.754,501,16,-1139.232,42
2695.763,3829.869,502,16,-1134.106,42
2675.803,3877.616,503,16,-1201.813,45
2793.606,3765.731,504,16,-972.125,35
2733.487,3955.264,505,16,-1221.777,45
2718.284,3672.068,506,16,-953.784,35
2678.177,3773.282,507,16,-1095.105,41
2765.656,4238.016,508,16,-1472.36,53
2695.335,3917.517,509,16,-1222.182,45
2729.181,4000.193,510,16,-1271.012,47
2746.139,4104.831,511,16,-1358.692,49
2732.247,4039.162,512,16,-1306.915,48
2777.316,3995.19,513,16,-1217.874,44
2709.747,4038.616,514,16,-1328.869,49
2760.211,4061.881,515,16,-1301.67,47
2830.387,4246.244,516,16,-1415.857,50
2748.885,3785.108,517,16,-1036.223,38
2751.565,3953.227,518,16,-1201.662,44
2783.925,4204.108,519,16,-1420.183,51
2844.924,3934.97,520,16,-1090.046,38
2858.014,4057.911,521,16,-1199.897,42
2768.457,3862.438,522,16,-1093.981,40
2802.66,3797.939,523,16,-995.279,36
2847.408,4143.149,524,16,-1295.741,46
2863.399,4032.506,525,16,-1169.107,41
2823.666,4152.162,526,16,-1328.496,47
2822.85,3850.332,527,16,-1027.482,36
2815.192,3844.306,528,16,-1029.114,37
2817.844,3901.831,529,16,-1083.987,38
2830.86,3820.327,530,16,-989.467,35
2863.25,3986.085,531,16,-1122.835,39
2844.425,4036.948,532,16,-1192.523,42
2861.077,4152.379,533,16,-1291.302,45
2870.596,4338.038,534,16,-1467.442,51
2826.361,4091.255,535,16,-1264.894,45
2838.706,3927.828,536,16,-1089.122,38
2871.573,4174.756,537,16,-1303.183,45
2784.091,4024.548,538,16,-1240.457,45
2896.281,4109.225,539,16,-1212.944,42
2934.221,4170.418,540,16,-1236.197,42
2965.639,4195.719,541,16,-1230.08,41
2873.156,4520.41,542,16,-1647.254,57
2888.738,4036.414,543,16,-1147.676,40
2882.379,4035.363,544,16,-1152.984,40
2915.28,4177.046,545,16,-1261.766,43
2865.107,4177.171,546,16,-1312.064,46
2869.04,3968.813,547,16,-1099.773,38
2917.876,4174.88,548,16,-1257.004,43
2956.839,4429.832,549,16,-1472.993,50
2928.213,4133.923,550,16,-1205.71,41
2910.192,4211.196,551,16,-1301.004,45
2970.505,4459.073,552,16,-1488.568,50
2971.361,4450.134,553,16,-1478.773,50
2956.084,3981.682,554,16,-1025.598,35
2978.81,3924.693,555,16,-945.883,32
3010.537,4601.804,556,16,-1591.267,53
2976.206,4311.955,557,16,-1335.749,45
2994.29,4219.622,558,16,-1225.332,41
2990.257,3963.253,559,16,-972.996,33
2925.447,4184.872,560,16,-1259.425,43
3013.66,4627.421,561,16,-1613.761,54
3102.277,4749.433,562,16,-1647.156,53
2970.252,4539.418,563,16,-1569.166,53
3033.064,4252.489,564,16,-1219.425,40
2979.26,4383.524,565,16,-1404.264,47
2988.706,4246.21,566,16,-1257.504,42
2969.005,4310.834,567,16,-1341.829,45
3006.591,4044.922,568,16,-1038.331,35
2950.385,4047.704,569,16,-1097.319,37
3018.686,4304.331,570,16,-1285.645,43
3067.391,4140.559,571,16,-1073.168,35
3079.099,4219.476,572,16,-1140.377,37
2988.153,4129.807,573,16,-1141.654,38
3070.405,4496.556,574,16,-1426.151,46
3027.358,4107.096,575,16,-1079.738,36
3096.417,4331.944,576,16,-1235.527,40
3079.323,4093.903,577,16,-1014.58,33
2997.316,4464.855,578,16,-1467.539,49
3023.35,4586.982,579,16,-1563.632,52
3038.758,4227.178,580,16,-1188.42,39
3117.217,4334.998,581,16,-1217.781,39
3076.039,4608.04,582,16,-1532.001,50
3093.636,4174.838,583,16,-1081.202,35
3087.525,4072.72,584,16,-985.195,32
3147.241,4199.526,585,16,-1052.285,33
3073.321,4220.636,586,16,-1147.315,37
3140.099,4341.857,587,16,-1201.758,38
3115.868,4447.484,588,16,-1331.616,43
3111.78,4858.896,589,16,-1747.116,56
