Esperado,Obtenido,,,,ANN
14436.913,15587.602,431,4,-1150.689,8
14316.343,16429.836,432,4,-2113.493,15
14731.903,17267.692,433,4,-2535.789,17
14650.15,16154.138,434,4,-1503.988,10
15100.289,17008.788,435,4,-1908.499,13
14755.866,16514.535,436,4,-1758.669,12
15137.782,16741.969,437,4,-1604.187,11
14868.017,16667.353,438,4,-1799.336,12
14606.291,16514.239,439,4,-1907.948,13
14705.72,15839.205,440,4,-1133.485,8
15009.661,16396.675,441,4,-1387.014,9
15194.349,17419.186,442,4,-2224.837,15
14424.968,16910.576,443,4,-2485.608,17
14616.554,16106.263,444,4,-1489.709,10
15177.058,17379.15,445,4,-2202.092,15
15200.363,16976.03,446,4,-1775.667,12
14920.93,17047.88,447,4,-2126.95,14
14666.415,17136.039,448,4,-2469.624,17
15419.679,17100.892,449,4,-1681.213,11
15309.922,17618.602,450,4,-2308.68,15
15259.223,17061.702,451,4,-1802.479,12
15200.527,17428.7,452,4,-2228.173,15
15595.753,17441.903,453,4,-1846.15,12
15649.009,17033.334,454,4,-1384.325,9
15361.622,17311.649,455,4,-1950.027,13
15467.449,17425.173,456,4,-1957.724,13
15316.814,17228.3,457,4,-1911.486,12
15543.426,16789.872,458,4,-1246.446,8
15601.838,17089.706,459,4,-1487.868,10
15599.03,16946.442,460,4,-1347.412,9
15445.082,17166.588,461,4,-1721.506,11
15882.722,17623.829,462,4,-1741.107,11
15112.089,16785.478,463,4,-1673.389,11
15476.881,17076.748,464,4,-1599.867,10
15748.172,17743.047,465,4,-1994.875,13
15485.086,17175.035,466,4,-1689.949,11
15520.015,17268.229,467,4,-1748.214,11
16051.415,18186.327,468,4,-2134.912,13
15970.042,17278.26,469,4,-1308.218,8
15639.784,16966.563,470,4,-1326.779,8
15538.988,17425.314,471,4,-1886.326,12
16050.959,18080.792,472,4,-2029.833,13
15853.511,17249.024,473,4,-1395.513,9
16067.724,17975.738,474,4,-1908.014,12
16061.203,17725.47,475,4,-1664.267,10
15809.038,17905.229,476,4,-2096.191,13
16352.659,17924.642,477,4,-1571.983,10
16282.668,18055.455,478,4,-1772.787,11
16316.766,18045.383,479,4,-1728.617,11
16027.784,18148.588,480,4,-2120.804,13
16212.004,18263.774,481,4,-2051.77,13
16066.05,18505.948,482,4,-2439.898,15
16200.212,17713.073,483,4,-1512.861,9
16062.403,18056.605,484,4,-1994.202,12
16094.402,17807.532,485,4,-1713.13,11
16449.054,18414.008,486,4,-1964.954,12
16089.827,18327.97,487,4,-2238.143,14
16301.944,17908.456,488,4,-1606.512,10
16767.933,18504.953,489,4,-1737.02,10
16443.473,18406.198,490,4,-1962.725,12
15918.643,17350.928,491,4,-1432.285,9
16517.144,18443.931,492,4,-1926.787,12
16427.472,18368.992,493,4,-1941.52,12
16477.489,18620.23,494,4,-2142.741,13
16222.137,18369.553,495,4,-2147.416,13
16448.956,18875.824,496,4,-2426.868,15
16711.862,18572.614,497,4,-1860.752,11
16776.413,18526.277,498,4,-1749.864,10
16816.313,18766.493,499,4,-1950.18,12
16872.915,18870.148,500,4,-1997.233,12
16808.202,18824.823,501,4,-2016.621,12
17020.412,18580.91,502,4,-1560.498,9
17033.881,19146.314,503,4,-2112.433,12
