,,,,,SVM
13227.846,14965.533,394,4,-1737.687,13
12897.729,14146.643,395,4,-1248.914,10
13352.453,15290.669,396,4,-1938.216,15
13765.976,15413.074,397,4,-1647.098,12
13716.405,15574.735,398,4,-1858.33,14
13333.743,15691.93,399,4,-2358.187,18
13418.427,14741.201,400,4,-1322.774,10
13029.588,15118.565,401,4,-2088.977,16
13817.429,15793.099,402,4,-1975.67,14
13404.778,15316.877,403,4,-1912.099,14
13422.855,15070.62,404,4,-1647.765,12
13632.036,15614.952,405,4,-1982.916,15
13560.179,15194.781,406,4,-1634.602,12
13895.828,16049.183,407,4,-2153.355,15
13718.687,15919.012,408,4,-2200.325,16
13860.699,16155.94,409,4,-2295.241,17
13831.248,15883.122,410,4,-2051.874,15
13978.496,16177.269,411,4,-2198.773,16
13723.618,15037.372,412,4,-1313.754,10
13760.996,15308.273,413,4,-1547.277,11
14027.633,15963.398,414,4,-1935.765,14
13915.654,15846.847,415,4,-1931.193,14
13725.595,15410.242,416,4,-1684.647,12
14195.1,16265.227,417,4,-2070.127,15
14051.024,16162.653,418,4,-2111.629,15
14344.421,16405.444,419,4,-2061.023,14
13933.789,16136.81,420,4,-2203.021,16
13723.237,15586.252,421,4,-1863.015,14
14339.219,16162.916,422,4,-1823.697,13
14222.475,15804.782,423,4,-1582.307,11
14200.04,16333.825,424,4,-2133.785,15
14032.159,15997.276,425,4,-1965.117,14
14306.689,16155.336,426,4,-1848.647,13
14590.833,16794.533,427,4,-2203.7,15
14730.267,16266.908,428,4,-1536.641,10
14248.055,15794.551,429,4,-1546.496,11
14360.393,16179.012,430,4,-1818.619,13
14436.913,16261.001,431,4,-1824.088,13
14316.343,16379.921,432,4,-2063.578,14
14731.903,17527.886,433,4,-2795.983,19
14650.15,16562.781,434,4,-1912.631,13
15100.289,17268.307,435,4,-2168.018,14
14755.866,16480.942,436,4,-1725.076,12
15137.782,17064.468,437,4,-1926.686,13
14868.017,16747.215,438,4,-1879.198,13
14606.291,16462.366,439,4,-1856.075,13
